flight_date,flight_number,from_full,to_full,from_airport,to_airport,aircraft,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,scheduled_hour,day_of_week,next_flight_dep,next_flight_delay,turnaround_mins,cascade_score
2025-07-24, ,Mumbai (BOM),Jaipur (JAI),BOM,JAI,B38M (VT-BXH),2025-07-24 06:45:00,2025-07-24 07:09:00,2025-07-24 08:40:00,2025-07-24 08:39:00,24.0,-1.0,6,Thursday,2025-07-25 06:46:00,1.0,1327.0,0.0
2025-07-25, ,Mumbai (BOM),Jaipur (JAI),BOM,JAI,B38M (VT-BXH),2025-07-25 06:45:00,2025-07-25 06:46:00,2025-07-25 08:40:00,2025-07-25 08:14:00,1.0,-26.0,6,Friday,,,,0.0
2025-07-19, ,Mumbai (BOM),Srinagar (SXR),BOM,SXR,B38M (VT-YAA),2025-07-19 06:05:00,2025-07-19 06:16:00,2025-07-19 08:45:00,2025-07-19 08:27:00,11.0,-18.0,6,Saturday,2025-07-23 07:08:00,3.0,5681.0,0.0
2025-07-23, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B38M (VT-YAA),2025-07-23 07:05:00,2025-07-23 07:08:00,2025-07-23 09:20:00,2025-07-23 08:56:00,3.0,-24.0,7,Wednesday,,,,0.0
2025-07-19, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,B38M (VT-YAC),2025-07-19 08:40:00,2025-07-19 09:01:00,2025-07-19 10:00:00,2025-07-19 09:57:00,21.0,-3.0,8,Saturday,,,,0.0
2025-07-21, ,Mumbai (BOM),Srinagar (SXR),BOM,SXR,B38M (VT-YAF),2025-07-21 06:05:00,2025-07-21 06:29:00,2025-07-21 08:45:00,2025-07-21 08:56:00,24.0,11.0,6,Monday,,,,0.0
2025-07-19, ,Mumbai (BOM),Lucknow (LKO),BOM,LKO,B38M (VT-YAG),2025-07-19 07:50:00,2025-07-19 08:16:00,2025-07-19 10:00:00,2025-07-19 10:02:00,26.0,2.0,7,Saturday,2025-07-23 06:30:00,25.0,5548.0,0.0
2025-07-23, ,Mumbai (BOM),Srinagar (SXR),BOM,SXR,B38M (VT-YAG),2025-07-23 06:05:00,2025-07-23 06:30:00,2025-07-23 08:45:00,2025-07-23 08:52:00,25.0,7.0,6,Wednesday,2025-07-25 09:15:00,35.0,2903.0,0.0
2025-07-25, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,B38M (VT-YAG),2025-07-25 08:40:00,2025-07-25 09:15:00,2025-07-25 10:00:00,2025-07-25 10:14:00,35.0,14.0,8,Friday,,,,0.0
2025-07-24, ,Mumbai (BOM),Srinagar (SXR),BOM,SXR,B38M (VT-YAH),2025-07-24 06:05:00,2025-07-24 06:23:00,2025-07-24 08:45:00,2025-07-24 08:46:00,18.0,1.0,6,Thursday,,,,0.0
